#|S
FRONTAGE|R
TOWNSHIP|R
FARM|R
MARKET|R
FARM TO MARKET|R
UNIT|S
SUITE|S
STE|S
UNT|S
COUNTY|R
CNTY|R
FM|R
INTERSTATE|R
US|R
STATE|R
AK|T
AL|T
ALA|T
ALABAMA|T
ALAS|T
ALASKA|T
ALLEE|F
ALLEY|F
ALLY|F
ALY|F
ANEX|F
ANNEX|F
ANNX|F
ANX|F
APT|S
APARTMENT|S
AR|T
ARC|F
ARCADE|F
ARIZ|T
ARIZONA|T
ARK|T
ARKANSAS|T
AV|F
AVE|F
AVEN|F
AVENU|F
AVENUE|F
AVN|F
AVNUE|F
AZ|T
BAYOO|F
BAYOU|F
BCH|F
BEACH|F
BEND|F
BG|F
BGS|F
BLF|F
BLFS|F
BLUF|F
BLUFF|F
BLUFFS|F
BLVD|F
BND|F
BOT|F
BOTTM|F
BOTTOM|F
BOUL|F
BOULEVARD|F
BOULV|F
BOX|X
BR|F
BRANCH|F
BRDGE|F
BRG|F
BRIDGE|F
BRK|F
BRKS|F
BRNCH|F
BROOK|F
BROOKS|F
BTM|F
BURG|F
BURGS|F
BX|X
BYPA|F
BYPAS|F
BYPASS|F
BYPS|F
BYU|F
CA|T
CAL|T
CALIF|T
CALIFORNIA|T
CAMP|F
CANYN|F
CANYON|F
CAPE|F
CAUSEWAY|F
CAUSWA|F
CEN|F
CENT|F
CENTER|F
CENTERS|F
CENTR|F
CENTRE|F
CF|T
CIR|F
CIRC|F
CIRCL|F
CIRCLE|F
CIRCLES|F
CIRS|F
CL|T
CLB|F
CLF|F
CLFS|F
CLIFF|F
CLIFFS|F
CLUB|F
CMN|F
CMNS|F
CMP|F
CNTER|F
CNTR|F
CNYN|F
CO|T
COL|T
COLO|T
COLORADO|T
COMMON|F
COMMONS|F
CONN|T
CONNECTICUT|T
COR|F
CORNER|F
CORNERS|F
CORS|F
COURSE|F
COURT|F
COURTS|F
COVE|F
COVES|F
CP|F
CPE|F
CRCL|F
CRCLE|F
CREEK|F
CRES|F
CRESCENT|F
CREST|F
CRK|F
CROSSING|F
CROSSROAD|F
CROSSROADS|F
CRSE|F
CRSENT|F
CRSNT|F
CRSSNG|F
CRST|F
CRT|F
CRTS|F
CSWY|F
CT|F
CTR|F
CTRS|F
CTS|F
CURV|F
CURVE|F
CV|F
CVE|F
CVES|F
CVS|F
CYN|F
DALE|F
